decision_id,case_number,case_year,decision_date,decision_year,decision_month,court,court_seat,formation,chamber_number,president,chamber_presidents,counselors,n_counselors,bench_size,prosecutor,clerk,origin_court,origin_city,subject_matter,outcome,title,n_pages,n_chars,extraction_method,ocr_agreement,source_url,sha256,pdf_path,txt_path,flags
416,416,,2019-02-14,2019,02,محكمة التعقيب,تونس,الدوائر المجتمعة,,الطيب راشد,نازك كادة؛البشير المطوي؛كمال مصطفى العلاني؛نعيمة رحيم؛المنصف الكشو؛كوثر السعدي؛لطيفة البغدادي؛سارة العياري؛ماهر كنو؛سلوى النهدي؛ماجدة بن غربية؛ماهر كريشان؛منيرة النحالي؛جلال الدين بوك تيف؛وسيلة التليلي؛روضة اوبيش؛ا سيا العياري؛حياة البصلي؛عبلة بن شعبان؛جليلة نصر الله؛عبد الباسط الخالدي؛عادل الاندلسي؛رياض الامام؛رياض الموحلي؛جمال المستيري؛لمياء الحمامي؛زهرة السلامي؛محمد كمال دويك,انور المليح؛فاخر بركات؛زينب لغلوغ؛رجاء بوسمة؛حاتم بن جماعة؛بديع بن عباس؛عفاف عالشيخ؛راضية المنتصر؛نجيب العرعوري؛وريدة الغربي؛مفيدة المداغي؛سامية القطاري؛رؤوف ملكي؛ريم منية البحري؛عبد الرزاق الباهوري؛هندة العلاقي؛احمد الغالي؛صالحة النحالي؛محمد الورهاني؛ابراهيم الغرياني؛فاتن خير الله؛نجلاء المصمودي؛عادل الاخضر؛بسمة بودن؛هالة البجا ر؛سهام الشاهد؛بسمة العبساوي,27,56,شكري التريكي,عفاف الحاجي,محكمة الاستئناف بالكاف,الكاف,جزائي,قبول,قرار تعقيبي عدد 416 بتاريخ 14-02-2019 خطأ بين جزائي-مستندات الطعن لا تُبلغ إلا للمعقب ضدهم,5,5882,text-layer,0.964,http://www.cassation.tn/fileadmin/user_upload/416.pdf,bf7d39afeea0dd1419638be8baf09da76457a65535c1a7c37c9f8fb0d5da661f,decisions/pdf/416.pdf,decisions/txt/416.txt,
42050,42050,,2019-02-14,2019,02,محكمة التعقيب,تونس,الدوائر المجتمعة,,الطيب راشد,نازك كادة؛البشير المطوي؛كمال مصطفى العلاني؛نعيمة رحيم؛المنصف الكشو؛كوثر السعدي؛لطيفة البغدادي؛سارة العياري؛ماهر كنو؛سلوى النهدي؛ماجدة بن غربية؛ماهر كريشان؛منيرة النحالي؛جلال الدين بوكتيف؛وسيلة التليلي؛روضة اوبيش؛اسيا العياري؛حياة البصلي؛عبلة بن شعبان؛جليلة نصر الله؛عبد الباسط الخالدي؛عادل الاندلسي؛رياض الامام؛ر ياض الموحلي؛جمال المستيري؛لمياء الحمامي؛زهرة السلامي؛محمد كمال دويك,انور المليح؛فاخر بركات؛زينب لغلوغ؛رجاء بوسمة؛حاتم بن جماعة؛بديع بن عباس؛عفاف عالشيخ؛راضية المنتصر؛نجيب العرعوري؛وريدة الغربي؛مفيدة المداغي؛سامية القطاري؛رؤوف ملكي؛سميرة الحويوي؛ريم منية البحري؛عبد الرزاق الباهوري؛هندة العلاقي؛احمد الغالي؛صالحة النحالي؛محمد الورهاني؛ابراهيم الغرياني؛امال العرفاوي؛فاتن خير الله؛نجلاء المصمودي؛عادل الاخضر؛بسمة بودن؛هالة البجار؛سهام الشاهد؛بسمة العبساوي,29,58,شكري التريكي,عفاف الحاجي,محكمة الاستئناف ببنزرت,بنزرت,جزائي,رفض,قرار تعقيبي عدد 42050 بتاريخ 14-02-2019 رفض التعهد-جزائي- بطلان بيع ما سبق بيعه,10,13480,text-layer,0.965,http://www.cassation.tn/fileadmin/user_upload/42050.pdf,7968026000642fb298d1a71c5ff6635922bbe3bebe32a0bb94d5a4c29065a5c4,decisions/pdf/42050.pdf,decisions/txt/42050.txt,
80654-80653,80653/80654,,2019-04-11,2019,04,محكمة التعقيب,تونس,الدوائر المجتمعة,,محمد كمال دويك,البشير المطوي؛المنصف الكشو؛نعيمة رحيم؛كوثر السعدي؛لطيفة البغدادي؛سارة العياري؛ماجدة بن غربية؛ماهر كريشان؛جلال الدين بوكتيف؛وسيلة التليلي؛روضة اوبيش؛اسيا العياري؛حياة البصلي؛عبلة بن شعبان؛رضا العرعوري؛المنجي شلغوم؛عادل الاندلسي؛رياض الامام؛جمال المستيري؛لمياء الحمامي؛زهرة السلامي؛عبد الرزاق الباهوري,بسمة العبساوي؛مريم البكوش؛ماهر كنو؛مفيدة المداغي؛حمادي الرحماني؛توفيق سويدي؛فاخر بركات؛زينب لغلوغ؛نجيب العرعوري؛امال عباسي؛بديع بن عباس؛ماجدة الرياحي؛حاتم بن جماعة؛عفاف عالشيخ؛توفيق العيوني؛نجلاء المصمودي؛محمد بن مفتاح؛هالة البجار؛فاتن خير الله؛هاجر الشريف؛رجاء بوسمة؛امال العرفاوي؛بلقاسم كعوان؛ابراهيم الغرياني؛سهام الشاهد؛انور المليح؛سرور البرشاني؛سميرة الحويوي؛رشيد الشيحاوي؛ابراهيم الحرباوي,30,53,شكري التريكي,كريمة الغزواني,محكمة الاستئناف بتونس,تونس,جزائي,رفض,قرار تعقيبي عدد 80653-80654دوائر مجتمعة -رفض التعهد,3,4923,text-layer,0.921,http://www.cassation.tn/fileadmin/user_upload/80654-80653.pdf,40438f7a7b8595c4e344a302c5977011784904adb76e6bfef9dd137a44019f0a,decisions/pdf/80654-80653.pdf,decisions/txt/80654-80653.txt,
80956,80956,,2019-04-11,2019,04,محكمة التعقيب,تونس,الدوائر المجتمعة,,محمد كمال دويك,نازك كادة؛البشير المطو؛ي المنصف الكشو؛نعيمة رحيم؛كوثر السعدي؛لطيفة البغد ادي؛سارة العياري؛ماجدة بن غربية؛ماهر كريشان؛جلال الدين بوكتيف؛وسيلة التليلي؛روضة ا؛اسيا العياري؛حياة البصلي؛عبلة بن شعبان؛رضا العرعوري؛المنجي شلغوم؛عادل الاندلسي؛رياض الامام؛جمال المستيري؛لمياء الحمامي؛زهرة السلامي؛عبد الرزاق الباهوري,بسمة العبساوي؛مريم البكوش؛ماهر كنو؛مفيدة المداغي؛حمادي الرحماني؛توفيق سويدي؛فاخر بركات؛زينب لغلوغ؛نجيب العرعوري؛ا مال عباسي؛بديع بن عباس؛ماجدة الرياحي؛حاتم بن جماعة؛عفاف عالشيخ؛توفيق العيوني؛نجلاء المصمودي؛محمد بن مفتاح؛هالة البجار؛فاتن خير الله؛هاجر الشريف؛رجاء بوسمة؛ا مال العرفاوي؛بلقاسم كعوان؛ابراهيم الغرياني؛سهام الشاهد؛ا نور المليح؛سرور البرشاني؛سميرة الحويوي؛رشيد الشيحاوي؛ابراهيم الحرباوي,30,54,شكري التريكي,كريمة الغزواني,محكمة الاستئناف بتونس,تونس,جزائي,إحالة؛قبول,قرار تعقيبي عدد 80956 دوائر مجتمعة - التخلي للصبغة الإرهابية,17,45723,text-layer,0.925,http://www.cassation.tn/fileadmin/user_upload/80956.pdf,ae85d40f1c39c4a5b2de8309bb980c45a13304e6f5ddf852d0e8bafb081fcd0d,decisions/pdf/80956.pdf,decisions/txt/80956.txt,
46252,46252,,2019-06-20,2019,06,محكمة التعقيب,تونس,الدوائر المجتمعة,,الطيب راشد,نازك كادة؛البشير المطوي؛نعيمة رحيم؛المنصف الكشو؛كوثر السعدي؛هاجر المحرزي؛سارة العياري؛عبد المجيد بوريقة؛ماجدة بن غربية؛ماهر كريشان؛منيرة النحالي؛جلال الدين بوكتيف؛روضة اوبيش؛اسيا العياري؛حياة البصلي؛حاتم بن عجال؛المنجي شلغوم؛عادل الاندلسي؛رياض الامام؛لمياء الحمامي؛زهرة السلام؛ي محمد كمال دويك,ح اتم بن جماعة؛بديع بن عباس؛عفاف عالشيخ؛راضية المنتصر؛رضا العرعوري؛وريدة الغربي؛سامية القطاري؛سميرة الحويوي؛ريم منية البحري؛عبد الرزاق الباهوري؛هندة العلاقي؛ايمان الشرفي؛ابراهيم الغرياني؛ا مال العرفا؛زهرة الحجري؛سعاد شبار؛سرور البرشاني؛فات ن خير الله؛هاجر الخالدي؛بسمة بودن؛بسمة العبساوي؛ماهر كنو؛فاخر بركات؛رجاء بوسمة؛ثريا الداه؛ش عبد الباسط الخالدي,26,49,منتصر سفطة,نسرين الطرشاني,محكمة الاستئناف بمدنين,مدنين,جزائي,رفض؛قبول,قرار تعقيبي عدد 46252 بتاريخ 20 جوان 2019 -إثبات جريمة الإساءة للغير عبرالشبكات العمومية للاتصالات-إحالة المحاضر الجزائية المتعلقة بجرائم الاتص,11,13379,text-layer,0.947,http://www.cassation.tn/fileadmin/user_upload/46252.pdf,8bb6c248757b05cc3fca3ff13ba6262c6439d9a157116684d82b5c282612dd2d,decisions/pdf/46252.pdf,decisions/txt/46252.txt,
38565,38565,,2019-07-12,2019,07,محكمة التعقيب,تونس,دائرة,29,رياض الامام,,شكري كمون؛سامي الداهش,2,3,سارة بوطبة,جلال الدين العنتير,المحكمة الابتدائية بجندوبة,جندوبة,جزائي,رفض؛قبول,قرار تعقيبي عدد 38565 بتاريخ 12-07-2019 المحكمة المختصة في جريمة كف شغب عن عقار مسجل,3,4826,text-layer,0.981,http://www.cassation.tn/fileadmin/user_upload/38565.pdf,ef8a40a2020653c6a2097e38b8cb9928120999b5a38dd1b59429c52f34a78f35,decisions/pdf/38565.pdf,decisions/txt/38565.txt,
87861,87861,,2020-06-23,2020,06,محكمة التعقيب,تونس,دائرة,26,المنجي شلغوم,,ابراهيم الحرباوي؛حمادي الرحماني,2,3,عبد الرحمان بن الحاج جلول,هاجر السلطانى,المحكمة الابتدائية بالمنستير,المنستير,جزائي,نقض؛إحالة؛قبول,قرار تعقيبي عدد 87861 بتاريخ 23-06-2020عدم دفع مال النفقة-الإعلام بحكم النفقة يجب أن يكون قانونيا لا فعليا,2,4410,ocr,0.438,http://www.cassation.tn/fileadmin/user_upload/87861.pdf,83ecda20f4e2da9c791b42f5d57c3ae5e300b17746879eb95073709320bc22a9,decisions/pdf/87861.pdf,decisions/txt/87861.txt,
86968,86968,,2020-06-30,2020,06,محكمة التعقيب,تونس,دائرة,26,المنجي شلغوم,,عبد القادر غزال,1,2,عبد الرحمان بن الحاج جلول,هاجر السلطاني,محكمة الاستئناف بنابل,نابل,جزائي,رفض؛قبول,قرار تعقيبي عدد 86968 بتاريخ 30-06-2020ركن الإضمار في جريمة الإعتداء بالعنف الشديد المضمر,3,5324,ocr,0.523,http://www.cassation.tn/fileadmin/user_upload/86968.pdf,60b501766f99da2682b864db529218609904f71e454e0d9dedd2bf751cd6bc2b,decisions/pdf/86968.pdf,decisions/txt/86968.txt,
88085,88085,,2020-06-30,2020,06,محكمة التعقيب,تونس,دائرة,26,المنجي شلغوم,,عبد القادر غزال؛حمادي الرحماني,2,3,عبد الرحمان بن الحاج جلول,هاجر السلطاني,محكمة الاستئناف بالكاف,الكاف,جزائي,نقض؛إحالة؛قبول,قرار تعقيبي عدد 88085 بتاريخ 30-06-2020الإثبات الحر في المادة الجزائية مشروط بموازنة جميع قرائن الإدانة والبراءة,2,3609,ocr,0.619,http://www.cassation.tn/fileadmin/user_upload/88085.pdf,75c111dc3b6a1bbbba8f046ab7343cea8085c6541b61edc7d1690bb941eb66d6,decisions/pdf/88085.pdf,decisions/txt/88085.txt,
90873,90873,,2020-06-30,2020,06,محكمة التعقيب,تونس,دائرة,26,المنجي شلغوم,,عبد القادر غزال؛حمادي الرحماني,2,3,عبد الرحمان بن الحاج جلول,هاجر السلطاني,محكمة الاستئناف بتونس,تونس,جزائي,نقض؛إحالة؛قبول,قرار تعقيبي عدد 90873 بتاريخ 30-06-2020 خلوّ وصف الحكم الإعتراضي بكونه اعتراضي لا تأثير له على صحّته,3,5628,ocr,0.531,http://www.cassation.tn/fileadmin/user_upload/90873.pdf,a07967b5b42c63452d84784b9d65fc27522c8d5889ca480b0abd862d9ca364a1,decisions/pdf/90873.pdf,decisions/txt/90873.txt,
87942,87942,,2020-07-14,2020,07,محكمة التعقيب,تونس,دائرة,26,المنجي شلغوم,,عبد القادر غزال؛حمادي الرحماني,2,3,عبد الرحمان بن الحاج جلول,هاجر السلطاني,محكمة الاستئناف بالمنستير,المنستير,جزائي,نقض؛إحالة؛قبول,قرار تعقيبي عدد 87942 بتاريخ 14-07-2020تعطيل حرية الشغل-طريقة التعطيل,3,5369,ocr,0.526,http://www.cassation.tn/fileadmin/user_upload/87942.pdf,99459e8a52abd59447f93ad90e4062169d68ebe23e4c7c44df6f8ea202fb0c6f,decisions/pdf/87942.pdf,decisions/txt/87942.txt,
