decision_id,case_number,case_year,decision_date,decision_year,decision_month,court,court_seat,formation,chamber_number,president,chamber_presidents,counselors,n_counselors,bench_size,prosecutor,clerk,origin_court,origin_city,subject_matter,outcome,title,n_pages,n_chars,extraction_method,ocr_agreement,source_url,sha256,pdf_path,txt_path,flags
002,2002,2016,2016-03-10,2016,03,محكمة التعقيب,تونس,دائرة,13,نائلة مظفر,,اسيا العياري؛رفيقة النابلي,2,3,سميرة الحويوي,جميلة مسعود,محكمة الاستئناف بتونس,تونس,احوال شخصية,نقض؛إحالة؛قبول,الخروج إن لم يدفع الكراء التجاري . استعجالي,6,6713,ocr,0.073,http://www.cassation.tn/fileadmin/user_upload/002.pdf,fa533770c3bf0549f1cfdcdb050f9a529c530750742546909f7a6af05ff63be5,decisions/pdf/002.pdf,decisions/txt/002.txt,case_number_mismatch:file=002
20918-18,20918,2015,2018-06-28,2018,06,محكمة التعقيب,تونس,الدوائر المجتمعة,,الهادي القديري,الهادي العياري؛نازك كادة البشير المطوي؛ماجدة بن غربية؛رجاء الفخفاخ؛وسيلة الكعبي؛الحبيب بالحاج؛نعيمة رحيم عادل الاندلسي؛لمياء الحمامي؛شادية الصافى؛كمال مصطفى العلانى؛كوثر السعدي؛جمال المستيري؛منيرة النحالى؛جميل بن عياد؛لطيفة البغدادي؛سلوى النهدي؛المنجى شلغوم؛بديع بن عباس؛مفيدة الصولي؛راضية المنتصر؛امال عباسي؛ماجدة الفهري؛ريم منية البحري؛عبلك الباسط خالدي؛ابراهيم الحرباوي؛زيئب لغلوغ؛عفاف عالشيخ؛رجاء بوسمة؛سعاد شبار؛امال العرفاوي؛ثريا الداهمش؛سامى الداهمش؛اسيا العياري؛ايماك الشرفى؛مفيدة الطلحاوي؛بلقاسم كعوان؛سميرة الحويوي؛بسمة بودل؛سنية الدبابى؛سهام الشاهد,,0,41,شكري التريكي,عفاف الحاجى,محكمة الاستئناف بتونس,تونس,مدني,نقض؛إحالة؛رفض؛قبول,تحكيم-إفشاء سرية المفاوضة,12,13125,ocr,0.93,http://www.cassation.tn/fileadmin/user_upload/20918-18.pdf,d41cf7e115bd1c805094e84403686912b3ca0bb149b2ba5a2614e0dbd4daa3be,decisions/pdf/20918-18.pdf,decisions/txt/20918-18.txt,bench_not_separated
28620-18,28620,2018,2018-06-28,2018,06,محكمة التعقيب,تونس,الدوائر المجتمعة,,الهادي القديري,الهادي العياري؛نازك كادة؛المنصف الكشو؛البشير المطوي؛رجاء الفخفاخ؛وسيلة الكعبي؛الحبيب بلحاج؛نعيمة رحيم؛عادل الاندلسي؛لمياء الحمامي؛سارة العياري؛شادية الصافي؛كمال مصطفى العلاني؛كوثر السعدي؛جمال المستيري؛منيرة النحالي؛جميل بن عياد؛لطيفة البغدادي؛سلوى النهدي؛روضة اوبيش؛محمد كمال دويك,مفيدة الصولي؛سهام الشاهد؛راضية المنتصر؛امال عباسي؛عبد الباسط الخالي؛زينب لغلوغ؛رجاء بوسمة_؛بديع بن عباس_ثريا الداهش_؛سميرة الحويوي؛امدل العرفاوي؛بسمة بودن؛مفيدة الطلحاوي؛سنية الدبابي؛ماجدة الفهري؛حاتم بن جماعة_بلقاسم كعوان؛سعاد شبار؛عفاف عالشيخ؛ايمان الشرفي؛ااسيا العياري؛ريم منية البحري,20,42,شكري التريكي,عفاف الحاجي,محكمة الاستئناف بالمنستير,المنستير,مدني,نقض؛إحالة؛قبول,انقضاء عقد التأمين,7,10873,ocr,0.911,http://www.cassation.tn/fileadmin/user_upload/28620-18.pdf,aab0e62bc4bf08e7020362c3f21b53f14436129976178d2a30479a79a9a6b40d,decisions/pdf/28620-18.pdf,decisions/txt/28620-18.txt,
398-18,398,2018,2018-06-28,2018,06,محكمة التعقيب,تونس,الدوائر المجتمعة,,الهادي القديري,الهادي العياري؛نازك كادة؛البشير المطوي؛ماجدة بن غربية؛رجاء الفخفاخ؛وسيلة الكعبي؛الحبيب بالحاج؛نعيمة رحيم؛عادل الاندلسي؛لمياء الحمامي؛سارة العياري؛شادية الصافي؛كمال مصطفى العلاني؛كوثر السعدي؛جمال المستيري؛منيرة النحالي؛جميل بن عياد؛لطيفة البغدادي؛سلوى النهدي؛المنجي شلغوم؛روضة اوبيش؛محمد كمال دويك,حاتم بن جماعة؛بديع بن عباس؛مفيدة الصولي؛راضية المنتصر؛امال عباسي؛ماجدة الفهري؛ريم منية البحري؛زينب لغلوغ؛عفاف عالشيخ؛رجاء بوسمة؛سعاد شبارء امال العرفاوي؛ثريا الداهش؛سامي الداهشء؛اسيا العياري؛ايمان الشرفي؛مفيدة الطلحاوي؛بلقاسم كعوان؛سميرة الحويوي؛بسمة بودن؛سنية الدبابي؛سهام الشاهد,21,44,شكري التريكي,عفاف الحاجى,المحكمة الابتدائية بتونس,تونس,مدني,قبول,خطأ بين-بداية عد أجل تقديم الوثائق,7,6791,ocr,0.905,http://www.cassation.tn/fileadmin/user_upload/398-18.pdf,ac3ce6b9951aed782638b4111db98b3de44cbc859d90a4d56d07f35260087743,decisions/pdf/398-18.pdf,decisions/txt/398-18.txt,
47234-18,47234,2018,2018-06-28,2018,06,محكمة التعقيب,تونس,الدوائر المجتمعة,,الهادي القديري,الهادي العياري؛نازك كادة؛المنصف الكشو_البشير المطوي؛رجاء الفخفاخ؛وسيلة الكعبي؛الحبيب بلحاج؛نعيمة رحيم؛عادل الاندلسي؛لمياء الحمامي؛سارة العياري؛شادية الصافي_كمال مصطفى العلاني؛كوثر السعدي؛جمال المستيري؛منيرة النحالي؛جميل بن عياد؛سلوى النهدي؛_المنجي شلغوم؛روضة اوبيش_؛محمد كمال دويك,مفيدة الصولي؛سهام الشاهد؛راضية المنتصر؛امال عباسي؛عبد الباسط الخالي؛زينب لغلوغ؛رجاء بوسمة؛اامل العرفاوي؛بسمة بودن؛مفيدة الطلحاوي؛سنية الدبابي؛ابراهيم الحرباوي؛ماجدة الفهري؛حاتم بن جماعة_؛بلقاسم كعوان؛سعاد شبار_؛عفاف عالشيخ؛ايمان الشرفي_؛اسيا العياري؛ريم منية البحري,20,40,شكري التريكي,عفاف الحاجي,محكمة الاستئناف بالمنستير,المنستير,مدني,رفض؛قبول,مرور-الصلح مع الصندوق,17,25078,ocr,0.93,http://www.cassation.tn/fileadmin/user_upload/47234-18.pdf,cfc70c53e72f3eff4dd16dbcc29b876028706c74df0813a54d0fe1a283bdb28c,decisions/pdf/47234-18.pdf,decisions/txt/47234-18.txt,
39843-17,39843,2017,2018-10-25,2018,10,محكمة التعقيب,تونس,الدوائر المجتمعة,,الهادي العياري,نازك كاده؛البشير المطوي؛ماجدة بن غربية؛وسيلة التليلي؛عادل الاندلسي؛لمياء الحمامي؛عبد المجيد بوريقة؛سارة العياري؛جليلة نصر الله؛كمال مصطفى العلاني؛كوثر السعدي؛جمال المستيري؛منيرة النحالي؛حياة البصلي؛لطيفة البغدادي؛سلوى النهدي؛المنجي شلغوم؛روضة اوبيش؛محمد كمال؛المنذر الشتيوي؛حاتم بن عجال؛رياض الموحلي؛رياض الامام؛جلال الدين بوكتيف؛المنصف بالحاج علي؛ريم منية البحري؛رضا العرعوري,هندة العلاقي؛احمد الغالي؛صالحة النحالي؛سميرة الحويوي؛محمد الورهاني؛ابراهيم الغرياني؛امال العرفاوي؛كوثر الشريفي؛فاتن خير الله؛حليمة النيال؛رجاء بوسمة؛عادل الاخضر؛بسمة بودن؛توفيق سويدي؛هالة البجار؛سهام الشاهد؛رجاء الخضراوي؛بسمة العبساوي؛عبد الباسط الخالدي؛عبلة بن شعبان؛نجلاء المصمودي؛انور المليح؛الازهر العوامري؛ماهر كريشان؛فاخر بركات؛زينب لغلول؛الهام البناني؛ماهر كنو؛ابراهيم الحرباوي؛ابراهيم الغرياني؛رشيد الشيحاوي؛حاتم بن جماعة؛نجيب العرعوري؛عماد الدغاري؛بديع بن عباس,35,63,شكري التريكي,عفاف الحاجي,محكمة الاستئناف بتونس,تونس,مدني,رفض؛قبول,تقادم دعوى البطلان,10,15715,text-layer,0.946,http://www.cassation.tn/fileadmin/user_upload/39843-17.pdf,32429225510d91d08551f4bee4d34f6e79082eb4192e349d1ff4197921458180,decisions/pdf/39843-17.pdf,decisions/txt/39843-17.txt,
44803,44803,,2019-01-10,2019,01,محكمة التعقيب,تونس,الدوائر المجتمعة,,الطيب راشد,الهادي العياري؛البشير المطوي؛ماجدة بن غربية؛ماهر كريشان؛نعيمة رحيم؛وسيلة التليلي؛عادل الاندلسي؛عبد المجيد بوريقة؛سارة العياري؛جليلة نصر الله؛كمال مصطفى العلاني؛كوثر السعدي؛جمال المستيري؛منيرة النحالي؛عبد الرزاق الباهوري؛المنصف الكشو؛حياة البصلي؛لطيفة البغدادي؛سلوى النهدي؛المنجي شلغوم؛روضة اوبيش؛محمد كمال؛حاتم بن عجال؛زهرة السلامي؛رياض الموحلي؛رياض الامام؛جلال الدين بوكتيف,ا نور المليح؛فاخر بركات؛ز ينب لغلول؛ر جاء بوسمة؛حاتم بن جماعة؛عبلة بن شعبان؛بديع بن عباس؛احمد الغالي؛عفاف عالشيخ؛راضية المنتصر؛مريم البكوش؛ا سيا العياري؛سميرة الحويوي؛نجيب العرعوري؛هندة العلاقي؛ابراهيم الحرباوي؛محمد الورهاني؛رؤوف ملكي؛ابراهيم الغرياني؛صالح ابن الحاج؛امال العرفاوي؛مفيدة المداني؛عادل بوصفارة؛بلقاسم كعوان؛رشيد الشيحاوي؛فاتن خير الله؛عادل الاخضر؛بسمة بودن؛فيق سويدي؛هالة البجار؛امال المالكي؛علية القاطري,32,60,منتصر بن سفطة,عفاف الحاجي,محكمة الاستئناف بالكاف,الكاف,مدني,رفض,قرار تعقيبي عدد 44803 بتاريخ 14-02-2019 صحة تعهد الدوائر المجتمعة,9,12917,text-layer,0.931,http://www.cassation.tn/fileadmin/user_upload/44803.pdf,02620c3a98faa7740241552a697ec639f3ed689d3c91f857258ae5623edc436d,decisions/pdf/44803.pdf,decisions/txt/44803.txt,date_mismatch:title=2019-02-14
28474,28474,,2019-02-14,2019,02,محكمة التعقيب,تونس,الدوائر المجتمعة,,الطيب راشد,نازك كادة؛كمال مصطفى العلاني؛نعيمة رحيم؛المنصف الكشو؛كوثر السعدي؛لطيفة البغدادي؛سارة العياري؛ماهر كنو؛سلوى النهدي؛ماجدة بن غربية؛ماه ر كريشان؛منيرة النحالي؛جلال الدين بوكتيف؛وسيلة التليلي؛روضة اوبيش؛ا سيا العياري؛حياة البصلي؛عبلة بن شعبان؛جليلة نصر الله؛عبد الباسط الخالدي؛عادل الاندلسي؛رياض الامام؛رياض الموحلي؛جمال المستيري؛لمياء الحمامي؛زهرة السلامي؛محمد كمال دويك,انور المليح؛فاخر بركات؛زينب لغلوغ؛رجاء بوسمة؛حاتم بن جماعة؛بديع بن عباس؛عفاف عالشيخ؛راضية المنتصر؛نجيب العرعوري؛وريدة الغربي؛مفيدة المداغي؛سامية القطاري؛رؤوف ملكي؛سميرة الحويوي؛ريم منية البحري؛عبد الرزاق الباهوري؛هندة العلاقي؛احمد الغالي؛صالحة النحالي؛محمد الورهاني؛ابراهيم الغرياني؛امال العرفاوي؛فاتن خير الله؛نجلاء المصمودي؛عادل الاخضر؛بسمة بودن؛هالة البجار؛سهام الشاهد؛بسمة العبساوي,29,57,شكر ي التريكي,عفاف الحاجي,محكمة الاستئناف بنابل,نابل,مدني,نقض؛إحالة؛قبول,قرار تعقيبي عدد 28474 الفسخ- الأجل المعقول,10,18047,text-layer,0.97,http://www.cassation.tn/fileadmin/user_upload/28474.pdf,f36fdd6b5b10a2ba875ccd705480e5b595c187bd784408a58f8672e241072d52,decisions/pdf/28474.pdf,decisions/txt/28474.txt,
38085,38085,,2019-02-14,2019,02,محكمة التعقيب,تونس,الدوائر المجتمعة,,الطيب راشد,نازو كادة؛كمال مصطفى العلاني؛نعيمة رحيم؛المنصف الكشو؛كوثر السعدي؛لطيفة البغدادي؛سارة العياري؛ماهر كنو؛سلوى النهدي؛ماجدة بن غربية؛ماهر كريشان؛منيرة النحالي؛جلال الدين بوك تيف؛وسيلة التليلي؛روضة اوبيش؛اسيا العياري؛حياة البصلي؛عبلة بن شعبان؛جليلة نصر الله؛عبد الباسط الخالدي؛عادل الاندلسي؛رياض الامام؛رياض الموحلي؛جمال المستيري؛لمياء الحمامي؛زهرة السلامي؛محمد كمال دويك,انور المليح؛فاخر بركات؛زينب لغلوغ؛رجاء بوسمة؛حاتم بن جماعة؛بديع بن عباس؛عفاف عالشيخ؛راضية المنتصر؛نجيب العرعوري؛وريدة الغربي؛مفيدة المداغي؛سامية القطاري؛رؤوف ملكي؛سميرة الحويوي؛ريم منية البحري؛عبد الرزاق الباهوري؛هندة العلاقي؛احمد الغالي؛صالحة النحالي؛محمد الورهاني؛ابراهيم الغري اني؛امال العرفاوي؛فاتن خير الله؛نجلاء المصمودي؛عادل الاخضر؛بسمة بودن؛هالة البجا ر؛سهام الشاهد؛بسمة العبساوي,29,57,شكري التريكي,عفاف الحاجي,محكمة الاستئناف بتونس,تونس,عقاري,رفض؛قبول,قرار تعقيبي عدد 38085 بتاريخ 14-02-2019 بيع ملك الغير-حسن النية-التشطيب-قيد إحتياطي,13,22004,text-layer,0.949,http://www.cassation.tn/fileadmin/user_upload/38085.pdf,2b00bccd51da1bbe536bb8102ac40c7a32936a08e52d8c6eaf8b898fc6467855,decisions/pdf/38085.pdf,decisions/txt/38085.txt,
406,406,,2019-02-14,2019,02,محكمة التعقيب,تونس,الدوائر المجتمعة,,الطيب راشد,نازك كادة؛البشير المطوي؛كمال مصطفى العلاني؛نعيمة رحيم؛المنصف الكشو؛كوثر السعدي؛لطيفة الب غدادي؛سارة العياري؛ماجدة بن غربية؛ماهر كريشان؛منيرة النحالي؛سلوى النهدي؛جلال الدين بوكتيف؛وسيلة التليلي؛روضة اوبيش؛جمال المستيري؛اسيا العياري؛حياة البصلي؛عبلة بن شعبان؛جليلة نصر الله؛حاتم بن عجال؛المنجي شلغوم؛عادل الاندلسي؛رياض الامام؛رياض الموحلي؛لمياء الحمامي؛زهرة السلامي؛محمد كمال,ماهر كنو؛عبد الباسط الخالدي؛انور المليح؛فاخر بركات؛زينب لغلوغ؛رجاء بوسمة؛حاتم بن جماعة؛بديع بن عباس؛عفاف عالشيخ؛راضية المنتصر؛نجيب العرعوري؛وريدة الغربي؛مفيدة المداغي؛سامية القطاري؛رؤوف ملكي؛سميرة الحويوي؛ريم منية البحري؛عبد الرزاق الباهوري؛هندة العلاقي؛احمد الغالي؛صالحة النحالي؛محمد الورهاني؛ابراهيم الغرياني؛امال العرفاوي؛فاتن خير الله؛نجلاء المصمودي؛عادل الاخضر؛بسمة بودن؛هالة البجار؛سهام الشاهد؛بسمة العبساوي,31,60,شكري التريكي,عفاف الحاجي,المحكمة الابتدائية بتونس,تونس,مدني,قبول,قرار تعقيبي عدد 406 بتاريخ 14-02-2019 سبق النظر في الموضوع-الحياد الموضوعي,5,7848,text-layer,0.941,http://www.cassation.tn/fileadmin/user_upload/406.pdf,a00d03409c7177e53f0470a70c63fa994316b7956fd5eec6b4a1ed8e73ea2de1,decisions/pdf/406.pdf,decisions/txt/406.txt,
